method_name,loss,parameters
SGD,660.9606951838246,1e-05
SGD,445.58936617628973,0.0001
SGD,941.189770321351,0.001
SGD,9197.110759436762,0.01
SGD,23786.567473456897,0.1
AdaSpider,6346.991126156738,0.1
Spider,inf,"(1e-05, 1e-05)"
Spider,4019822.420968033,"(1e-05, 0.0001)"
Spider,4760557.21796287,"(1e-05, 0.001)"
Spider,inf,"(1e-05, 0.01)"
Spider,inf,"(1e-05, 0.1)"
Spider,inf,"(0.0001, 1e-05)"
Spider,492113.89296385203,"(0.0001, 0.0001)"
Spider,406490.8472182388,"(0.0001, 0.001)"
Spider,inf,"(0.0001, 0.01)"
Spider,inf,"(0.0001, 0.1)"
Spider,6214.642983986267,"(0.001, 1e-05)"
Spider,35714.11041636262,"(0.001, 0.0001)"
Spider,2856.0877824410095,"(0.001, 0.001)"
Spider,8891.61483832267,"(0.001, 0.01)"
Spider,4855.749690771913,"(0.001, 0.1)"
Spider,2008.1623194487818,"(0.01, 1e-05)"
Spider,1982.911198657972,"(0.01, 0.0001)"
Spider,2006.61437339569,"(0.01, 0.001)"
Spider,2038.9757955027326,"(0.01, 0.01)"
Spider,2005.347182397452,"(0.01, 0.1)"
Spider,196.4954996890061,"(0.1, 1e-05)"
Spider,196.97363927027007,"(0.1, 0.0001)"
Spider,195.78828684403547,"(0.1, 0.001)"
Spider,197.40796932384995,"(0.1, 0.01)"
Spider,196.78927690663824,"(0.1, 0.1)"
SpiderBoost,630.0425384939781,"(0.1, 0.1)"
SVRG,34508.173130902076,1e-05
SVRG,37461.18318636461,0.0001
SVRG,31750.27145459704,0.001
SVRG,42407.0900315826,0.01
SVRG,39556.41104652776,0.1
AdaGrad,685.4446170142592,"(1e-05, 1e-05)"
AdaGrad,685.4315472281481,"(1e-05, 0.0001)"
AdaGrad,137155.94341404227,"(1e-05, 0.001)"
AdaGrad,242396.92895166835,"(1e-05, 0.01)"
AdaGrad,inf,"(1e-05, 0.1)"
AdaGrad,685.430093842073,"(0.0001, 1e-05)"
AdaGrad,685.4470399565885,"(0.0001, 0.0001)"
AdaGrad,144352.9127788799,"(0.0001, 0.001)"
AdaGrad,493105.0842099879,"(0.0001, 0.01)"
AdaGrad,inf,"(0.0001, 0.1)"
AdaGrad,685.8767190808808,"(0.001, 1e-05)"
AdaGrad,693.4256815805439,"(0.001, 0.0001)"
AdaGrad,140003.64483254732,"(0.001, 0.001)"
AdaGrad,492801.45297106274,"(0.001, 0.01)"
AdaGrad,inf,"(0.001, 0.1)"
AdaGrad,741.8393510980848,"(0.01, 1e-05)"
AdaGrad,1365.2782597176142,"(0.01, 0.0001)"
AdaGrad,141788.366695886,"(0.01, 0.001)"
AdaGrad,489030.66166541784,"(0.01, 0.01)"
AdaGrad,inf,"(0.01, 0.1)"
AdaGrad,3831.3802934855526,"(0.1, 1e-05)"
AdaGrad,29853.946449943494,"(0.1, 0.0001)"
AdaGrad,138942.23486474802,"(0.1, 0.001)"
AdaGrad,374643.38545308507,"(0.1, 0.01)"
AdaGrad,inf,"(0.1, 0.1)"
AdaSVRG,25138.865513247227,1e-05
AdaSVRG,25086.017787837613,0.0001
AdaSVRG,25259.343167129213,0.001
AdaSVRG,25015.36158844604,0.01
AdaSVRG,25328.98010440528,0.1
